frame,x,y,confidence
52858,868,51,0.462985
52859,868,51,0.406012
52860,868,51,0.405320
52861,868,51,0.427733
52862,868,51,0.430595
52863,868,51,0.428304
52864,868,51,0.444773
52865,868,51,0.432289
52866,,,
52867,,,
52868,,,
52869,,,
52870,868,50,0.362253
52871,868,50,0.548843
52872,868,50,0.379022
52873,868,50,0.392021
52874,868,50,0.408941
52875,868,50,0.368902
52876,819,116,0.385350
52877,819,116,0.389344
52878,818,116,0.433986
52879,818,116,0.457852
52880,818,116,0.430105
52881,818,116,0.435926
52882,818,116,0.392552
52883,868,51,0.385662
52884,868,51,0.358982
52885,868,51,0.371322
52886,868,51,0.375053
52887,868,51,0.352836
52888,818,116,0.411481
52889,818,116,0.416186
52890,867,51,0.360503
52891,867,51,0.356158
52892,867,51,0.365189
52893,867,51,0.358622
52894,867,51,0.377796
52895,868,51,0.400159
52896,868,51,0.422624
52897,868,51,0.396898
52898,867,51,0.413842
52899,867,51,0.443225
52900,867,51,0.419612
52901,867,51,0.477348
52902,868,51,0.486436
52903,868,51,0.488506
52904,867,51,0.461180
52905,867,51,0.463669
52906,867,51,0.447542
52907,867,51,0.471472
52908,868,51,0.467050
52909,868,51,0.456334
52910,867,51,0.407702
52911,867,51,0.389375
52912,867,51,0.384572
52913,867,51,0.390464
52914,867,51,0.409138
52915,868,51,0.432255
52916,868,51,0.420084
52917,868,51,0.416921
52918,,,
52919,867,51,0.356058
52920,,,
52921,,,
52922,867,51,0.369092
52923,868,51,0.387994
52924,868,51,0.402224
52925,868,51,0.417965
52926,868,51,0.423821
52927,868,51,0.539111
52928,868,51,0.539508
52929,868,51,0.538135
52930,868,51,0.546968
52931,868,51,0.658702
52932,868,51,0.620625
52933,868,51,0.611115
52934,868,51,0.662081
52935,868,51,0.603205
52936,868,51,0.558866
52937,868,51,0.545255
52938,868,51,0.554576
52939,868,51,0.557096
52940,868,51,0.527719
52941,868,51,0.549992
52942,868,51,0.505443
52943,868,51,0.532483
52944,868,51,0.557420
52945,868,51,0.570479
52946,868,51,0.542810
52947,868,51,0.549978
52948,868,51,0.511311
52949,868,51,0.509152
52950,868,51,0.504251
52951,868,51,0.486030
52952,868,51,0.449279
52953,868,51,0.432068
52954,868,51,0.432002
52955,868,51,0.435473
52956,868,51,0.416143
52957,868,51,0.438499
52958,868,51,0.455760
52959,868,51,0.436819
52960,868,51,0.448688
52961,868,51,0.439093
52962,868,51,0.436367
52963,868,51,0.436944
52964,868,51,0.447296
52965,868,51,0.447196
